_v_fcstm_id,period_id_mnth,_v_lagm_id,item,sop_family,size,brand,color,line,linegroup,plant,quantity,cogs,revenue
2022-04-01,2022-04-01,0,Item 00033,Popular Products,Extra Large,Private Label,Red,A - 16 Ex Lrg Red,Ex. Lrg. Format Lines,Atlanta,1203.4000000000000000000000000,28472.444000000000000000000000000,40674.920000000000000000000000000
2022-04-01,2022-04-01,0,Item 00048,Popular Products,Large,Pine Top,Blue,A - 13 Large Blue,Large Format Lines,Atlanta,500.4900000000000000000000000,10930.701600000000000000000000000,15615.288000000000000000000000000
2022-04-01,2022-04-01,0,Item 00177,Popular Products,Extra Large,Cave Creek,Red,A - 16 Ex Lrg Red,Ex. Lrg. Format Lines,Atlanta,2034.6500000000000000000000000,48139.819000000000000000000000000,68771.170000000000000000000000000
2022-04-01,2022-04-01,0,Item 00190,Popular Products,Small,Pine Top,Blue,P - 3 Small Blue,Small Format Lines,Phoenix,4508.6500000000000000000000000,57440.201000000000000000000000000,82057.430000000000000000000000000
2022-04-01,2022-04-01,0,Item 00228,Popular Products,Small,Snowflake,White,P - 5 Small White,Small Format Lines,Phoenix,2979.2800000000000000000000000,37956.027200000000000000000000000,54222.896000000000000000000000000
2022-04-01,2022-04-01,0,Item 00235,Popular Products,Medium,Snowflake,Blue,P - 8 Medium Blue,Medium Format Lines,Phoenix,14618.7300000000000000000000000,272785.501800000000000000000000000,389589.154500000000000000000000000
2022-04-01,2022-04-01,0,Item 00266,Popular Products,Large,Cave Creek,Blue,A - 13 Large Blue,Large Format Lines,Atlanta,0.000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000000
2022-04-01,2022-04-01,0,Item 00347,Popular Products,Large,Pine Top,White,A - 15 Large White,Large Format Lines,Atlanta,352.2400000000000000000000000,7692.921600000000000000000000000,10989.888000000000000000000000000
2022-04-01,2022-04-01,0,Item 00373,Popular Products,Large,Snowflake,Black,A - 14 Large Black,Large Format Lines,Atlanta,946.2500000000000000000000000,20666.100000000000000000000000000,29523.000000000000000000000000000
2022-04-01,2022-04-01,0,Item 00383,Popular Products,Large,Private Label,Yellow,A - 12 Large Yellow,Large Format Lines,Atlanta,40185.3300000000000000000000000,877647.607200000000000000000000000,1253782.296000000000000000000000000
2022-04-01,2022-04-01,0,Item 00398,Popular Products,Extra Large,Pine Top,Black,A - 19 Ex Lrg Black,Ex. Lrg. Format Lines,Atlanta,140.00000000000000000000000,3312.4000000000000000000000000,4732.0000000000000000000000000
2022-04-01,2022-04-01,0,Item 00533,Popular Products,Large,Pine Top,Black,A - 14 Large Black,Large Format Lines,Atlanta,204.000000000000000000000000,4455.36000000000000000000000000,6364.80000000000000000000000000
2022-04-01,2022-04-01,0,Item 00562,Popular Products,Extra Large,Pine Top,White,A - 20 Ex Lrg White,Ex. Lrg. Format Lines,Atlanta,202.6500000000000000000000000,4794.699000000000000000000000000,6849.570000000000000000000000000
2022-04-01,2022-04-01,0,Item 00591,Popular Products,Large,Snowflake,White,A - 15 Large White,Large Format Lines,Atlanta,60594.4800000000000000000000000,1323383.443200000000000000000000000,1890547.776000000000000000000000000
2022-04-01,2022-04-01,0,Item 00660,Popular Products,Extra Large,Private Label,Blue,A - 18 Ex Lrg Blue,Ex. Lrg. Format Lines,Atlanta,1251.7900000000000000000000000,29617.351400000000000000000000000,42310.502000000000000000000000000
2022-04-01,2022-04-01,0,Item 00760,Popular Products,Extra Large,Private Label,Red,A - 16 Ex Lrg Red,Ex. Lrg. Format Lines,Atlanta,2052.000000000000000000000000,48550.32000000000000000000000000,69357.60000000000000000000000000
